AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
KIAA0129 gene,D50919_at
KIAA0130 gene,D50920_at
KIAA0132 gene,D50922_at
KIAA0133 gene,D50923_at
KIAA0134 gene,D50924_at
Serine/threonine kinase mRNA, partial cds,D50925_at
KIAA0136 gene, partial cds,D50926_at
KIAA0137 gene,D50927_at
KIAA0138 gene,D50928_at
KIAA0140 gene,D50930_at
KIAA0141 gene,D50931_at
GB DEF = B-cell PABL (pseudoautosomal boundary-like sequence) mRNA, clone Bc4,D55638_at
GB DEF = Monocyte PABL (pseudoautosomal boundary-like sequence) mRNA, clone Mo2,D55640_at
MDH1 Malate dehydrogenase 1, NAD (soluble),D55654_at
Cysteine protease,D55696_at
DNA REPLICATION LICENSING FACTOR CDC47 HOMOLOG,D55716_at
Reg-related sequence derived peptide-1,D56495_at
NCBP interacting protein 1,D59253_at
DJ-1 protein,D61380_at
Phosphoribosypyrophosphate synthetase-associated protein 39,D61391_at
GB DEF = ETS-like 30 kDa protein,D63134_at
GB DEF = ETS-like 30 kDa protein,D63135_at
Serum lectin P35,D63160_at
Acetylhydrolase IB beta-subunit,D63390_at
Platelet activating factor acetylhydrolase IB gamma-subunit,D63391_at
AQP4 Aquaporin 4,D63412_at
KIAA0109 gene,D63475_at
KIAA0142 gene,D63476_at
KIAA0143 gene, partial cds,D63477_at
KIAA0144 gene,D63478_at
KIAA0146 gene, partial cds,D63480_at
KIAA0147 gene, partial cds,D63481_at
KIAA0148 gene,D63482_at
KIAA0149 gene,D63483_at
KIAA0150 gene, partial cds,D63484_at
KIAA0151 gene,D63485_at
KIAA0152 gene,D63486_at
KIAA0153 gene, partial cds,D63487_at
Unc-18homologue,D63506_at
Rod photoreceptor protein,D63813_at
Unc-18 homologue,D63851_at
HMG1 High-mobility group (nonhistone chromosomal) protein 1,D63874_at
KIAA0155 gene,D63875_at
KIAA0154 gene, partial cds,D63876_at
KIAA0241 gene, partial cds,D63877_at
PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR,D63878_at
KIAA0156 gene,D63879_at
KIAA0159 gene,D63880_at
KIAA0160 gene, partial cds,D63881_at
MANA2 Mannosidase, alpha type II,D63998_at
Tob family,D64109_at
Tob family,D64110_at
Histone H1x,D64142_at
Mr 110,000 antigen,D64154_at
ATP binding protein associated with cell differentiation, partial cds,D64158_at
GB DEF = 3-7 gene product, partial cds,D64159_at
SEC14L SEC14 (S. cerevisiae)-like,D67029_at
Doc2 beta,D70830_at
Zic protein,D76435_at
Hkf-1 mRNA,D76444_at
Dihydropyrimidinase,D78011_at
CRMP1 Collapsin response mediator protein 1,D78012_at
Dihydropyrimidinase related protein-3,D78014_at
GB DEF = Adult (34 year old) Male liver mRNA for squalene epoxidase, partial cds,D78129_at
YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide,D78134_at
55.11 binding protein,D78151_at
GB DEF = RasGTPase activating protein, partial cds,D78156_at
ICSAT transcription factor mRNA, partial cds, similar to mouse Pip/LSIRF ( IRF-4) sequence,D78261_at
Proteasome subunit p42,D78275_at
Testis-specific TCP20,D78333_at
Ankyrin motif,D78334_at
5-terminal region of UMK,D78335_at
Ornithine decarboxylase antizyme, ORF 1 and ORF 2,D78361_at
K12 keratin,D78367_at
Ubiquitin-conjugating enzyme,D78514_at
CAD PROTEIN,D78586_at
MEST Mesoderm specific transcript (mouse) homolog,D78611_at
Ribosomal protein L39,D79205_at
KIAA0161 gene,D79983_at
A cell surface protein,D79985_at
KIAA0164 gene,D79986_at
KIAA0165 gene,D79987_at
KIAA0166 gene,D79988_at
KIAA0167 gene,D79989_at
KIAA0168 gene,D79990_at
KIAA0169 gene, partial cds,D79991_at
KIAA0170 gene,D79992_at
KIAA0171 gene,D79993_at
KIAA0172 gene, partial cds,D79994_at
KIAA0173 gene,D79995_at
KIAA0174 gene,D79996_at
KIAA0175 gene,D79997_at
KIAA0176 gene, partial cds,D79998_at
KIAA0177 gene, partial cds,D79999_at
KIAA0179 gene, partial cds,D80001_at
KIAA0180 gene, partial cds,D80002_at
KIAA0181 gene, partial cds,D80003_at
KIAA0182 gene, partial cds,D80004_at
KIAA0183 gene, partial cds,D80005_at
KIAA0184 gene, partial cds,D80006_at
KIAA0185 gene, partial cds,D80007_at
KIAA0186 gene,D80008_at
KIAA0187 gene,D80009_at
KIAA0188 gene, partial cds,D80010_at
KIAA0189 gene,D80011_at
KIAA0190 gene, partial cds,D80012_at
Kidney mRNA for putative membrane protein with histidine rich charge clusters,D82060_at
B-cell mRNA for a member of the short-chain alcohol dehydrogenase family, partial cds,D82061_at
AC1 mRNA,D82070_at
Amino acid transport-related protein mRNA,D82326_at
AMY,D82343_at
NBPhox,D82344_at
NB thymosin beta,D82345_at
HNSPC,D82346_at
5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleoti de transformylase/inosinicase,D82348_at
Epidermoid carcinoma mRNA for ubiquitin-conjugating enzyme E2 similar to Drosophila bendless gene product,D83004_at
Nel-related protein 2,D83018_at
Nuclear protein, NP220,D83032_at
Tumor necrosis factor type 1 receptor associated protein (TRAP1) mRNA, partial cds,D83195_at
ATM Ataxia telangiectasia mutated (includes complementation groups A, C and D),D83243_at
ZAKI-4 mRNA in human skin fibroblast,D83407_at
Cadherin-15,D83542_at
RP105,D83597_at
Calcium-binding protein in amniotic fluid 1,D83657_at
Brain 3UTR of mRNA for neuronal death protein, partial sequence,D83699_at
Brain mRNA for photolyase homolog,D83702_at
Peroxisome assembly factor-2,D83703_at
Adult heart mRNA for neutral calponin,D83735_at
Clone N9 Rep-8 mRNA,D83767_at
KIAA0191 gene, partial cds,D83776_at
KIAA0193 gene,D83777_at
KIAA0194 gene, partial cds,D83778_at
KIAA0195 gene,D83779_at
KIAA0196 gene,D83780_at
KIAA0197 gene, partial cds,D83781_at
KIAA0199 gene, partial cds,D83782_at
KIAA0192 gene, partial cds,D83783_at
KIAA0198 gene, partial cds,D83784_at
KIAA0200 gene,D83785_at
FCN1 Ficolin (collagen/fibrinogen domain-containing) 1,D83920_at
RBP-MS/type 1,D84110_at
WS-3 mRNA,D84145_at
IgG Fc binding protein,D84239_at
CD38 CD38 antigen (p45),D84276_at
TPRD,D84294_at
Phosphoethanolamine cytidylyltransferase,D84307_at
P52 and p64 isoforms of N-Shc,D84361_at
Fetal brain mRNA for hyaluronan synthase,D84424_at
UDP-galactose translocator,D84454_at
P105MCM mRNA,D84557_at
Thymosin beta-4 mRNA,D85181_at
TR3beta,D85245_at
TRHR Thyrotropin-releasing hormone receptor,D85376_at
Phosphatidylinositol-glycan-class C (PIG-C),D85418_at
GB DEF = Cdc5, partial cds,D85423_at
DNAJ PROTEIN HOMOLOG 1,D85429_at
GB DEF = MURR1 mRNA, sequence,D85433_at
GB DEF = LIM domain, partial cds,D85527_at
Enhancer of rudimentary homolog mRNA,D85758_at
DNA for rhoHP1,D85815_at
P97 homologous protein,D85939_at
EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype,D86096_cds3_at
Osteoblast mRNA for osteonidogen,D86425_at
Non-lens beta gamma-crystallin like protein (AIM1) mRNA, partial cds,D86479_at
Truncated pancreatic polypeptide receptor PP2 mRNA,D86519_at
P97 homologous protein, partial cds,D86549_at
Stac,D86640_at
KIAA0201 gene,D86956_at
KIAA0202 gene, partial cds,D86957_at
KIAA0204 gene,D86959_at
KIAA0205 gene,D86960_at
KIAA0206 gene, partial cds,D86961_at
KIAA0207 gene,D86962_at
PTB Ribosomal protein L26,D86963_at
KIAA0209 gene, partial cds,D86964_at
KIAA0210 gene,D86965_at
KIAA0211 gene,D86966_at
KIAA0212 gene,D86967_at
KIAA0213 gene, partial cds,D86968_at
KIAA0215 gene,D86969_at
KIAA0216 gene,D86970_at
KIAA0217 gene, partial cds,D86971_at
KIAA0218 gene,D86972_at
KIAA0219 gene, partial cds,D86973_at
KIAA0222 gene,D86975_at
KIAA0223 gene, partial cds,D86976_at
KIAA0224 gene,D86977_at
KIAA0225 gene, partial cds,D86978_at
KIAA0226 gene,D86979_at
KIAA0227 gene, partial cds,D86980_at
KIAA0228 gene, partial cds,D86981_at
KIAA0229 gene, partial cds,D86982_at
KIAA0230 gene, partial cds,D86983_at
KIAA0231 gene, partial cds,D86984_at
KIAA0232 gene,D86985_at
5OY11.1 gene extracted from Human (lambda) DNA for immunogloblin light chain,D87009_cds3_at
GB DEF = (lambda) DNA for immunoglobin light chain,D87011_at
GB DEF = (lambda) DNA for immunoglobin light chain,D87012_at
J1 gene extracted from Human (lambda) DNA for immunoglobin light chain,D87023_cds2_at
GB DEF = (lambda) DNA for immunoglobin light chain,D87024_at
KIAA0233 gene,D87071_at
KIAA0236 gene,D87073_at
KIAA0237 gene,D87074_at
KIAA0238 gene, partial cds,D87075_at
KIAA0239 gene, partial cds,D87076_at
KIAA0240 gene, partial cds,D87077_at
KIAA0235 gene, partial cds,D87078_at
DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3,D87116_at
Cancellous bone osteoblast mRNA for GS3955,D87119_at
Cancellous bone osteoblast mRNA for GS3786,D87120_at
Translocation protein-1,D87127_at
Cancellous bone osteoblast mRNA for serin protease with IGF-binding motif,D87258_at
Rhodanese,D87292_at
HLCS Holocarboxylase synthetase (biotin-[proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase),D87328_at
KIAA0245 gene,D87432_at
KIAA0246 gene, partial cds,D87433_at
KIAA0247 gene,D87434_at
ARF3 ADP-ribosylation factor 3,D87435_at
KIAA0249 gene,D87436_at
KIAA0250 gene,D87437_at
KIAA0251 gene, partial cds,D87438_at
KIAA0252 gene, partial cds,D87440_at
KIAA0253 gene, partial cds,D87442_at
KIAA0254 gene,D87443_at
KIAA0255 gene,D87444_at
KIAA0256 gene,D87445_at
KIAA0257 gene, partial cds,D87446_at
KIAA0258 gene,D87447_at
KIAA0259 gene, partial cds,D87448_at
KIAA0260 gene, partial cds,D87449_at
KIAA0261 gene, partial cds,D87450_at
KIAA0262 gene,D87451_at
KIAA0263 gene,D87452_at
KIAA0264 gene, partial cds,D87453_at
KIAA0265 gene, partial cds,D87454_at
KIAA0266 gene,D87455_at
KIAA0281 gene,D87457_at
KIAA0282 gene, partial cds,D87458_at
KIAA0269 gene,D87459_at
KIAA0270 gene, partial cds,D87460_at
KIAA0271 gene,D87461_at
KIAA0272 gene, partial cds,D87462_at
KIAA0273 gene,D87463_at
KIAA0274 gene,D87464_at
KIAA0275 gene,D87465_at
KIAA0276 gene, partial cds,D87466_at
KIAA0277 gene,D87467_at
KIAA0278 gene, partial cds,D87468_at
KIAA0279 gene, partial cds,D87469_at
KIAA0280 gene, partial cds,D87470_at
Heat shock transcription factor 4,D87673_at
KIAA0241 gene, partial cds,D87682_at
KIAA0243 gene, partial cds,D87683_at
KIAA0242 gene, partial cds,D87684_at
KIAA0244 gene, partial cds,D87685_at
CAG-isl 7 {trinucleotide repeat-containing sequence} [human, pancreas, mRNA Partial, 701 nt],D87735_at
KIAA0268 gene, partial cds,D87742_at
KIAA0267 gene, partial cds,D87743_at
Platelet-activating factor acetylhydrolase 2,D87845_at
GB DEF = Alpha(1,2)fucosyltransferase, 5UTR partial sequence,D87937_at
RTP,D87953_at
Male foreskin fibroblast DNA for protein involved in sexual development,D87957_at
CMP-sialic acid transporter,D87969_at
UDP-galactose transporter related isozyme 1,D87989_at
UDP-galactose transporter 2,D88146_at
Acetyl-coenzyme A transporter,D88152_at
Retina-specific amine oxidase,D88213_at
GB DEF = (lambda) DNA for immunoglobin light chain,D88270_at
Proteasome inhibitor hPI31 subunit,D88378_at
CYSTATIN A,D88422_at
GB DEF = N-WASP,D88460_at
P55pik,D88532_at
HGCMa,D88613_at
Cerebroside sulfotransferase,D88667_at
GB DEF = Cadherin, partial cds,D88795_at
GB DEF = Cadherin, partial cds,D88797_at
GB DEF = Cadherin, partial cds,D88799_at
Neuroblastoma,D89016_at
Lectin-like oxidized LDL receptor,D89050_at
Proton-ATPase-like protein,D89052_at
Src-like adapter protein mRNA,D89077_at
N-Acetyl-beta-D-glucosaminide,D89289_at
PBI gene,D89501_at
C-myc binding protein,D89667_at
D-aspartate oxidase,D89858_at
Zinc finger 5 protein,D89859_at
CGM6 Carcinoembryonic antigen gene family member 6 (NCA-95),D90064_at
PDHA1 Pyruvate dehydrogenase (lipoamide) alpha 1,D90084_at
PDHB Pyruvate dehydrogenase (lipoamide) beta,D90086_at
ALPHA-AMYLASE 2B PRECURSOR,D90097_at
ATF4 CAMP-dependent transcription factor ATF-4 (CREB2),D90209_at
TXGP1 Tax-transcriptionally activated glycoprotein 1 (34kD),D90224_at
CGM7 Carcinoembryonic antigen gene family member 7,D90276_at
CPS1 Carbamoyl-phosphate synthetase 1, mitochondrial,D90282_at
TRANSCRIPTION INITIATION FACTOR TFIID 250 KD SUBUNIT,D90359_at
CYP2E Cytochrome P450, subfamily IIE,H46990_at
Serine Kinase Psk-H1,HG1019-HT1019_at
Bone Morphogenetic Protein 3,HG1071-HT1071_at
Lamin-Like Protein (Gb:M24732),HG1078-HT1078_at
Cystatin D,HG1098-HT1098_at
Ras-Related C3 Botulinum Toxin Substrate,HG1102-HT1102_at
Guanine Nucleotide-Binding Protein Ral, Ras-Oncogene Related,HG1103-HT1103_at
Ras-Like Protein Tc21,HG1111-HT1111_at
Ras-Like Protein Tc4,HG1112-HT1112_at
Proliferating-Cell Nucleolar Antigen, 120 Kda,HG1116-HT1116_at
Fk506-Binding Protein, Alt. Splice 2,HG1139-HT4910_at
Lipopolysaccharide-Binding Protein,HG1148-HT1148_at
Nucleoside Diphosphate Kinase Nm23-H2s,HG1153-HT1153_at
Colony-Stimulating Factor 1, Macrophage, Alt. Splice 3,HG1155-HT4822_at
Collagen, Type Iv, Alpha 2, N-Terminus,HG1205-HT1205_at
Modulator Recognition Factor 2,HG142-HT142_at
Utrophin,HG1602-HT1602_at
Adrenergic, Beta, Receptor Kinase 2,HG1604-HT1604_at
Macmarcks,HG1612-HT1612_at
Protein Phosphatase 1, Alpha Catalytic Subunit,HG1614-HT1614_at
Elastase 1,HG1649-HT1652_at
Spermidine/Spermine N1-Acetyltransferase, Alt. Splice 2,HG172-HT3924_at
Macrophage Scavenger Receptor, Alt. Splice 2,HG1723-HT1729_at
Moloney Murine Sarcoma Viral Oncogene Homolog,HG1733-HT1748_at
Desmoplakin I,HG174-HT174_at
Ahnak-A Nucleoprotein Ahnak-A,HG180-HT180_at
Ribosomal Protein S20,HG1800-HT1823_at
Ornithine Aminotransferase-Like 3,HG1804-HT1829_at
Nexin, Glia-Derived,HG1828-HT1857_at
Calmodulin Type I,HG1862-HT1897_at
Male Enhanced Antigen,HG1869-HT1904_at
Major Histocompatibility Complex, Dg,HG1872-HT1907_at
Ras-Like Protein Tc10,HG1879-HT1919_at
Laminin, A Polypeptide,HG2028-HT2082_at
Stimulatory Gdp/Gtp Exchange Protein For C-Ki-Ras P21 And Smg P21,HG2036-HT2090_at
Arrestin, Beta 2,HG2059-HT2114_at
Zinc Finger Protein 92,HG2152-HT2222_at
Translocation-Associated Notch (Drosophila) Homolog 1,HG2161-HT2231_at
Protein Kinase Ht31, Camp-Dependent,HG2167-HT2237_at
Paired Box Hup1 (Gb:X15042),HG2188-HT2258_at
Crystallin, Beta B3 (Gb:X15144),HG2190-HT2260_at
Crystallin, Beta B3 (Gb:X15145),HG2191-HT2261_at
Crystallin, Beta B,HG2228-HT2305_at
Paired Box Hup1 (Gb:X15250),HG2229-HT2306_at
Major Intrinsic Protein,HG2247-HT2332_at
Antigen, Prostate Specific, Alt. Splice Form 3,HG2261-HT2352_at
Atpase, Ca2+ Transporting, Plasma Membrane 1, Alt. Splice 6,HG2264-HT2360_at
Rna Polymerase Ii, 14.5 Kda Subunit,HG2274-HT2370_at
Triosephosphate Isomerase,HG2279-HT2375_at
D-Amino-Acid Oxidase,HG2280-HT2376_at
Calcitonin,HG2290-HT2386_at
Insulin-Like Growth Factor Ib,HG2309-HT2405_at
4-Beta-Galactosyltransferase,HG2314-HT2410_at
Integrin, Beta 3 Subunit,HG2320-HT2416_at
Retinoic Acid Receptor, Gamma 2,HG2325-HT2421_at
Nuclear Factor 1, Variant Hepatic,HG2339-HT2435_at
Transcription Factor E2f-2,HG2415-HT2511_at
Gal Beta 1,3(4)Glcnac Alpha2,3-Sialyltransferase,HG2416-HT2512_at
Dynein, Heavy Chain, Cytoplasmic,HG2417-HT2513_at
Tropomyosin, Alpha, Muscle, Alt. Splice 2, Skeletal Muscle (Fibroblast),HG2442-HT2538_at
Integrin Beta 1 (Gb:M34189),HG2460-HT2556_at
Guanine Nucleotide-Binding Protein G25k,HG2463-HT2559_at
Fmlp-Related Receptor I,HG2480-HT2576_at
Glutamate Receptor Subunit,HG2492-HT2588_at
Potassium Channel, Voltage-Gated Kcnc1,HG2507-HT2603_at
Helix-Loop-Helix Protein Delta Max, Alt. Splice 1,HG2525-HT2621_at
Adenylyl Cyclase-Associated Protein 2,HG2530-HT2626_at
Heterogeneous Nuclear Ribonucleoprotein C,HG2538-HT2634_at
Microtubule-Associated Protein Tau, Alt. Splice 5, Exon 4a,HG2566-HT4867_at
Zinc Finger Protein Kup (Gb:X16576),HG2573-HT2669_at
Estradiol 17-beta dehydrogenase 1,HG25930-HT26386_at
Succinate Dehydrogenase, Flavoprotein Subunit,HG2602-HT2698_at
Pan-2,HG2604-HT2700_at
Collagen, Type Viii, Alpha 1,HG2614-HT2710_at
Homeotic Protein Emx1,HG2662-HT2758_at
Homeotic Protein Emx2,HG2663-HT2759_at
Bradykinin Receptor,HG2668-HT2764_at
Ryanodine Receptor 3,HG2686-HT2782_at
Mucin 5b, Tracheobronchial (Gb:X74955),HG2689-HT2785_at
Lymphocyte Chemoattractant Factor,HG270-HT270_at
Serine/Threonine Kinase (Gb:Z25428),HG2706-HT2802_at
Serine/Threonine Kinase (Gb:Z25429),HG2707-HT2803_at
Serine/Threonine Kinase (Gb:Z25431),HG2709-HT2805_at
Tyrosine Kinase (Gb:Z25436),HG2714-HT2810_at
Tyrosine Kinase (Gb:Z25437),HG2715-HT2811_at
Proto-Oncogene N-Cym,HG2723-HT2819_at
Oncogene Tls/Chop, Fusion Activated,HG2724-HT2820_at
T-Plastin,HG2755-HT2862_at
Calcyclin,HG2788-HT2896_at
Neural Cell Adhesion Molecule,HG2796-HT2904_at
Homeotic Protein Pl2,HG2810-HT2921_at
Ret Transforming Gene,HG2825-HT2949_at
Heat Shock Protein, 70 Kda (Gb:Y00371),HG2855-HT2995_at
Ribosomal Protein L30 Homolog,HG2873-HT3017_at
Ribosomal Protein L39 Homolog,HG2874-HT3018_at
Immunoglobulin Heavy Chain, Enhancer Element,HG2936-HT3080_at
Beta-Hexosaminidase, Alpha Polypeptide, Abnormal Splice Mutation,HG2992-HT5186_at
Adp-Ribosylation-Like Factor,HG3039-HT3200_at
Major Histocompatibility Complex, Class I (Gb:L19693),HG3063-HT3224_at
Splicing Factor Sc35, Alt Splice Form 3,HG3088-HT3263_at
Serine Protease Met1,HG3104-HT3280_at
Ribosomal Protein L30,HG311-HT311_at
Autoantigen (Gb:S67069),HG3111-HT3287_at
Mps1 (Gb:L20314),HG3117-HT3293_at
Homeotic Protein Gbx2,HG3123-HT3299_at
Cea Family, Bi-Like Domain,HG3132-HT3308_at
Zinc Finger Protein Znf81 (Gb:X0729),HG3137-HT3313_at
Beta-1-Glycoprotein 11, Pregnancy-Specific,HG315-HT315_at
Transcription Factor Iia,HG3162-HT3339_at
Carcinoembryonic Antigen,HG3175-HT3352_at
Metallopanstimulin 1,HG3214-HT3391_at
Guanine Nucleotide-Binding Protein Hsr1,HG3227-HT3404_at
Protease Receptor-1, Effector Cell,HG3231-HT3408_at
Fibroblast Growth Factor, Antisense Mrna,HG3248-HT3425_at
Phosphatidylinositol 3-Kinase P110, Beta Isoform,HG3254-HT3431_at
Gamma-Aminobutyric Acid (Gaba) A Receptor Beta 2 Subunit,HG3255-HT3432_at
Af-6 (Gb:U02478),HG3264-HT3441_at
Crystallin, Alpha A,HG3286-HT3463_at
Xanthine Dehydrogenase (Gb:U06117),HG3288-HT3465_at
Acetyl-Coenzyme A Carboxylase,HG3299-HT3476_at
Ribosomal Protein S4, X-Linked,HG33-HT33_at
Tenascin,HG331-HT331_at
Thyroid Hormone Receptor, Beta-2,HG3313-HT3490_at
Ubiquitin-Conjugating Enzyme Ubch5,HG3344-HT3521_at
Pou Domain-Containing Protein (Gb:Z21065),HG3345-HT3522_at
Peroxisome Proliferator Activated Receptor (Gb:Z30972),HG3355-HT3532_at
Ribosomal Protein L37,HG3364-HT3541_at
Potassium Channel, Voltage-Gated, Isk-Related Family, Member 1,HG3369-HT3546_at
Nestin,HG3400-HT3579_at
Zinc Finger Protein Hzf3 (Gb:X60153),HG3405-HT3586_at
Poliovirus Receptor,HG3415-HT3598_at
Fibroblast Growth Factor Receptor K-Sam, Alt. Splice 1,HG3432-HT3618_at
Fibroblast Growth Factor Receptor K-Sam, Alt. Splice 4, K-Sam Iv,HG3432-HT3621_at
Zinc Finger Protein 20,HG3454-HT3647_at
Cd4 Antigen,HG3477-HT3670_at
Uncoupling Protein Ucp,HG3492-HT3686_at
Nuclear Factor Nf-Il6,HG3494-HT3688_at
Collagen, Type Ix, Alpha 1,HG3495-HT3689_at
Homeotic Protein Hox5.4,HG3502-HT3696_at
V-Erba Related Ear-3 Protein,HG3510-HT3704_at
Tropomyosin Tm30nm, Cytoskeletal,HG3514-HT3708_at
Alpha-1-Antitrypsin, 5 End,HG3517-HT3711_at
Ras-Related Protein Rap1b,HG3521-HT3715_at
Ccaat Displacement Protein, Cut Homolog, Alt. Splice 1,HG3548-HT3749_at
WilmS Tumor-Related Protein,HG3549-HT3751_at
Zinc Finger Protein (Gb:M88359),HG3566-HT3769_at
Protein Phosphatase Inhibitor Homolog,HG3570-HT3773_at
Autoimmune Antigen, Thyroid Disease-Related Antigen,HG3578-HT3781_at
Homeotic Protein 7, Notch Group,HG358-HT358_at
Calcium Channel, Voltage-Gated, Beta 1 Subunit, L Type, Alt. Splice 2, Skeletal Muscle Isoform,HG3627-HT3836_at
Epidermal Growth Factor Receptor-Related Protein,HG363-HT363_at
Iron-Responsive Element-Binding Protein,HG37-HT37_at
Epiligrin, Alpha 3,HG3733-HT4003_at
Basic Transcription Factor 2, 34 Kda Subunit,HG3740-HT4010_at
Basic Transcription Factor, 44 Kda Subunit,HG3748-HT4018_at
Immunoglobulin Heavy Chain, Fd Fragment,HG3790-HT4060_at
Ribosomal Protein L26,HG384-HT384_at
Immunoglobulin Gamma Heavy Chain, V(6)Djc Regions (Gb:U13200),HG3872-HT4142_at
Homeotic Protein Hpx-42,HG3884-HT4154_at
Phosphoglucomutase 1, Alt. Splice,HG3893-HT4163_at
Sodium Channel, Type Iii, Alpha Subunit, Brain,HG3897-HT4167_at
Stearoyl-Coenzymea Desaturase,HG3930-HT4200_at
G1 Phase-Specific Gene,HG3934-HT4204_at
Interleukin 9 Receptor (Gb:S71404),HG3936-HT4206_at
Interferon,HG3942-HT4212_at
Phospholipid Transfer Protein,HG3945-HT4215_at
Sialyltransferase, Stx,HG3962-HT4232_at
Transcription Factor (Gb:L32162),HG3971-HT4241_at
Pou-Domain Dna Binding Factor Pit1, Pituitary-Specific,HG3976-HT4246_at
