AFFX-MurIL2_at (spiked control),AFFX-MurIL2_at
Cluster Incl. Z22971:H.sapiens mRNA for M130 antigen extracellular variant /cds=(101,3550) /gb=Z22971 /gi=312147 /ug=Hs.166016 /len=3802,31438_s_at
Cluster Incl. X63095:H.sapiens mRNA for rhesus polypeptide (RhVI) /cds=(9,812) /gb=X63095 /gi=36042 /ug=Hs.166020 /len=1086,31439_f_at
Cluster Incl. Z47363:H.sapiens TCF-1 mRNA for T cell factor 1 splice form F /cds=(0,62) /gb=Z47363 /gi=619886 /ug=Hs.166027 /len=184,31440_at
Cluster Incl. X55989:Human ECRP gene for eosinophil cationic related protein /cds=(71,551) /gb=X55989 /gi=22940 /ug=Hs.166037 /len=733,31441_at
Cluster Incl. Z21818:H.sapiens carcinoembryonic antigen gene /cds=(110,244) /gb=Z21818 /gi=437783 /ug=Hs.166040 /len=595,31442_at
Cluster Incl. S76346:AML1=AML1 {alternatively spliced, exons 5 and b} [human, mRNA Partial, 284 nt] /cds=(0,159) /gb=S76346 /gi=913288 /ug=Hs.166060 /len=284,31443_at
Cluster Incl. M62895:Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region /cds=UNKNOWN /gb=M62895 /gi=187145 /ug=Hs.166072 /len=1361,31444_s_at
Cluster Incl. Y09846:H.sapiens shc pseudogene, p66 isoform /cds=(53,1803) /gb=Y09846 /gi=1834516 /ug=Hs.166089 /len=3120,31445_at
Cluster Incl. D89501:Human PBI gene, complete cds /cds=(14,418) /gb=D89501 /gi=1854451 /ug=Hs.166099 /len=576,31446_s_at
Cluster Incl. U63542:Human putative FAP protein mRNA, partial cds /cds=(0,758) /gb=U63542 /gi=1890646 /ug=Hs.166101 /len=913,31447_at
Cluster Incl. U82277:Human immunoglobulin-like transcript 1b mRNA, complete cds /cds=(0,611) /gb=U82277 /gi=1907320 /ug=Hs.166103 /len=661,31448_s_at
Cluster Incl. AF009787:Homo sapiens T cell receptor beta chain (TCRB) mRNA, partial cds /cds=(0,80) /gb=AF009787 /gi=2275604 /ug=Hs.166129 /len=189,31449_at
Cluster Incl. U78166:Human Ras-like small GTPase RIBA mRNA, alternatively spliced, complete cds /cds=(172,633) /gb=U78166 /gi=2286102 /ug=Hs.166131 /len=1154,31450_s_at
Cluster Incl. U62794:Human CDC42 GAP-related protein mRNA, partial cds /cds=(0,671) /gb=U62794 /gi=2326170 /ug=Hs.166138 /len=1378,31451_at
Cluster Incl. U91640:Human survival motor neuron pseudogene /cds=(0,849) /gb=U91640 /gi=2351795 /ug=Hs.166140 /len=850,31452_at
Cluster Incl. AF025530:Homo sapiens leucocyte immunoglobulin-like receptor-6a (LIR-6) mRNA, complete cds /cds=(182,1651) /gb=AF025530 /gi=2653866 /ug=Hs.166156 /len=1910,31453_s_at
Cluster Incl. AF034209:Homo sapiens RIG-like 5-6 mRNA, complete cds /cds=(720,1070) /gb=AF034209 /gi=2724107 /ug=Hs.166175 /len=1519,31454_f_at
Cluster Incl. AF034209:Homo sapiens RIG-like 5-6 mRNA, complete cds /cds=(720,1070) /gb=AF034209 /gi=2724107 /ug=Hs.166175 /len=1519,31455_r_at
Cluster Incl. AL008627:Human DNA sequence from PAC 130G2 on chromosome 6p22.2-22.3. Contains ribosomal protein L29 pseudogene, ESTs and STSs /cds=(43,528) /gb=AL008627 /gi=2769539 /ug=Hs.166181 /len=648,31456_at
Cluster Incl. AF042832:Homo sapiens forkhead-related transcription factor FREAC-9 (FKHL17) mRNA, complete cds /cds=(2127,3620) /gb=AF042832 /gi=3090886 /ug=Hs.166188 /len=4259,31457_at
Cluster Incl. M99063:Homo sapiens cytokeratin 2 mRNA, complete cds /cds=(31,1947) /gb=M99063 /gi=181389 /ug=Hs.166189 /len=2513,31458_at
Cluster Incl. AF043586:Homo sapiens clone CPRF1-T2 immunoglobulin lambda chain VJ region, (IGL) mRNA, partial cds /cds=(0,273) /gb=AF043586 /gi=2865483 /ug=Hs.166191 /len=306,31459_i_at
Cluster Incl. AF043586:Homo sapiens clone CPRF1-T2 immunoglobulin lambda chain VJ region, (IGL) mRNA, partial cds /cds=(0,273) /gb=AF043586 /gi=2865483 /ug=Hs.166191 /len=306,31460_f_at
Cluster Incl. AF050199:Homo sapiens putative peroxisome microbody protein 175.1 mRNA, complete cds /cds=(28,684) /gb=AF050199 /gi=2961556 /ug=Hs.166197 /len=1890,31461_at
Cluster Incl. U90842:Homo sapiens SSX5 (SSX5) mRNA, complete cds /cds=(0,566) /gb=U90842 /gi=2952024 /ug=Hs.166198 /len=576,31462_f_at
Cluster Incl. AL022097:Homo sapiens DNA sequence from PAC 256G22 on chromosome 6p24.1-25.3. Contains a HNRNP Core Protein A1 LIKE pseudogene and an exon with similarity to yeast and fly phenylalanyl tRNA synthetase PHERS. Contains ESTs and GSSs /cds=(63,1031) /gb=AL022097 /gi=3169107 /ug=Hs.166203 /len=1737,31463_s_at
Cluster Incl. AJ000503:Homo sapiens mRNA for tyrosinase-related protein 2 (TRP-2) /cds=(399,1112) /gb=AJ000503 /gi=3319962 /ug=Hs.167384 /len=3525,31464_at
Cluster Incl. AJ000503:Homo sapiens mRNA for tyrosinase-related protein 2 (TRP-2) /cds=(399,1112) /gb=AJ000503 /gi=3319962 /ug=Hs.167384 /len=3525,31465_g_at
Cluster Incl. U33547:Homo sapiens MHC class II antigen HLA-DRB6 mRNA, partial cds /cds=(0,106) /gb=U33547 /gi=3320135 /ug=Hs.167385 /len=720,31466_at
Cluster Incl. M38056:Human lymphocyte antigen mRNA, complete cds /cds=(46,249) /gb=M38056 /gi=184159 /ug=Hs.167748 /len=271,31467_at
Cluster Incl. W26104:22f6 Homo sapiens cDNA /gb=W26104 /gi=1306650 /ug=Hs.167981 /len=702,31468_f_at
Cluster Incl. W27234:24b9 Homo sapiens cDNA /gb=W27234 /gi=1306750 /ug=Hs.167982 /len=679,31469_s_at
Cluster Incl. W27604:35b1 Homo sapiens cDNA /gb=W27604 /gi=1307552 /ug=Hs.167991 /len=682,31470_at
Cluster Incl. AL031393:Human DNA sequence from clone 733D15 on chromosome Xp11.3. Contains a Zinc-finger (pseudo?) gene and GSSs /cds=(0,1492) /gb=AL031393 /gi=3646112 /ug=Hs.169190 /len=1493,31471_at
Cluster Incl. AF098641:Homo sapiens CD44 isoform RC (CD44) mRNA, complete cds /cds=(18,437) /gb=AF098641 /gi=3832517 /ug=Hs.169200 /len=484,31472_s_at
Cluster Incl. AF082558:Homo sapiens truncated TRF1-interacting ankyrin-related ADP-ribose polymerase TT7 mRNA, alternatively spliced, partial cds /cds=(0,100) /gb=AF082558 /gi=3929222 /ug=Hs.169213 /len=357,31473_s_at
Cluster Incl. AF082558:Homo sapiens truncated TRF1-interacting ankyrin-related ADP-ribose polymerase TT7 mRNA, alternatively spliced, partial cds /cds=(0,100) /gb=AF082558 /gi=3929222 /ug=Hs.169213 /len=357,31474_r_at
Cluster Incl. AF082559:Homo sapiens truncated TRF1-interacting ankyrin-related ADP-ribose polymerase TT9 mRNA, alternatively spliced, partial cds /cds=(0,206) /gb=AF082559 /gi=3929224 /ug=Hs.169214 /len=523,31475_at
Cluster Incl. AF082559:Homo sapiens truncated TRF1-interacting ankyrin-related ADP-ribose polymerase TT9 mRNA, alternatively spliced, partial cds /cds=(0,206) /gb=AF082559 /gi=3929224 /ug=Hs.169214 /len=523,31476_g_at
Cluster Incl. L08044:Human intestinal trefoil factor mRNA, complete cds /cds=(1,225) /gb=L08044 /gi=307520 /ug=Hs.169224 /len=398,31477_at
Cluster Incl. M16653:Human pancreatic elastase IIB mRNA, complete cds /cds=(25,834) /gb=M16653 /gi=182059 /ug=Hs.169234 /len=922,31478_at
Cluster Incl. J00146:Human dihydrofolate reductase pseudogene (psi-hd1) /cds=(23,316) /gb=J00146 /gi=182732 /ug=Hs.169235 /len=964,31479_f_at
Cluster Incl. L18877:Human MAGE-12 protein gene, complete cds /cds=(75,1019) /gb=L18877 /gi=499345 /ug=Hs.169246 /len=1583,31480_f_at
Cluster Incl. M92383:Homo sapiens thymosin beta-10 gene, 3end /cds=(0,149) /gb=M92383 /gi=339696 /ug=Hs.169250 /len=400,31481_s_at
Cluster Incl. L14813:Human carboxyl ester lipase like protein (CELL) mRNA, complete cds /cds=(13,192) /gb=L14813 /gi=409423 /ug=Hs.169271 /len=1214,31482_at
Cluster Incl. L14813:Human carboxyl ester lipase like protein (CELL) mRNA, complete cds /cds=(13,192) /gb=L14813 /gi=409423 /ug=Hs.169271 /len=1214,31483_g_at
Cluster Incl. X72882:H.sapiens 14A6CK DNA sequence /cds=(0,131) /gb=X72882 /gi=667005 /ug=Hs.169275 /len=132,31484_at
Cluster Incl. M57423:Homo sapiens phosphoribosylpyrophosphate synthetase subunit III mRNA, 3  end /cds=(81,1037) /gb=M57423 /gi=190521 /ug=Hs.169284 /len=1091,31485_at
Cluster Incl. Z70218:H.sapiens mRNA for MN1 protein (clone ICRFp507I0498) /cds=(0,50) /gb=Z70218 /gi=1235523 /ug=Hs.169287 /len=341,31486_s_at
Cluster Incl. L17328:Human pre-T/NK cell associated protein (3Cl) mRNA, complete cds /cds=(1296,1451) /gb=L17328 /gi=306331 /ug=Hs.169304 /len=1911,31487_at
Cluster Incl. S81916:phosphoglycerate kinase {alternatively spliced} [human, phosphoglycerate kinase deficient patient with episodes of muscl, mRNA Partial Mutant, 307 nt] /cds=(0,143) /gb=S81916 /gi=1470308 /ug=Hs.169313 /len=307,31488_s_at
Cluster Incl. U63332:Human super cysteine rich protein mRNA, partial cds /cds=(0,141) /gb=U63332 /gi=1480862 /ug=Hs.169325 /len=427,31489_at
Cluster Incl. M77235:Human cardiac tetrodotoxin-insensitive voltage-dependent sodium channel alpha subunit (HH1) mRNA, complete cds /cds=(150,6200) /gb=M77235 /gi=184038 /ug=Hs.169331 /len=8491,31490_at
Cluster Incl. X98175:H.sapiens mRNA for MACH-beta-2 protein /cds=(0,277) /gb=X98175 /gi=1403326 /ug=Hs.169669 /len=334,31491_s_at
Cluster Incl. AB019392:Homo sapiens mRNA of muscle specific gene M9, complete cds /cds=(171,827) /gb=AB019392 /gi=4587122 /ug=Hs.170120 /len=859,31492_at
Cluster Incl. J03071:Human growth hormone (GH-1 and GH-2) and chorionic somatomammotropin (CS-1, CS-2 and CS-5) genes, complete cds /cds=(0,653) /gb=J03071 /gi=183148 /ug=Hs.173250 /len=654,31493_s_at
Cluster Incl. D25272:Homo sapiens mRNA, clone-RES4-16 /cds=UNKNOWN /gb=D25272 /gi=464187 /ug=Hs.174225 /len=1567,31494_at
Cluster Incl. D63789:Homo sapiens DNA for SCM-1beta precursor, complete cds /cds=(21,365) /gb=D63789 /gi=1754608 /ug=Hs.174228 /len=485,31495_at
Cluster Incl. D63789:Homo sapiens DNA for SCM-1beta precursor, complete cds /cds=(21,365) /gb=D63789 /gi=1754608 /ug=Hs.174228 /len=485,31496_g_at
Cluster Incl. U19142:Human GAGE-1 protein mRNA, complete cds /cds=(48,464) /gb=U19142 /gi=914898 /ug=Hs.176660 /len=634,31497_at
Cluster Incl. U19147:Human GAGE-6 protein mRNA, complete cds /cds=(81,434) /gb=U19147 /gi=914908 /ug=Hs.176662 /len=527,31498_f_at
Cluster Incl. X16863:Human Fc-gamma RIII-1 cDNA for Fc-gamma receptor III-1 (CD 16) /cds=(33,734) /gb=X16863 /gi=31321 /ug=Hs.176663 /len=887,31499_s_at
Cluster Incl. W26594:33g6 Homo sapiens cDNA /gb=W26594 /gi=1307455 /ug=Hs.177484 /len=670,31500_at
Cluster Incl. W27645:37d5 Homo sapiens cDNA /gb=W27645 /gi=1307719 /ug=Hs.177488 /len=742,31501_at
Cluster Incl. W27953:39h7 Homo sapiens cDNA /gb=W27953 /gi=1307901 /ug=Hs.177489 /len=758,31502_at
Cluster Incl. W28732:50h7 Homo sapiens cDNA /gb=W28732 /gi=1308680 /ug=Hs.177496 /len=818,31503_at
Cluster Incl. M64098:Human high density lipoprotein binding protein (HBP) mRNA, complete cds /cds=(154,3960) /gb=M64098 /gi=183891 /ug=Hs.177516 /len=4354,31504_at
Cluster Incl. Z28407:H.sapiens mRNA for ribosomal protein L8 /cds=(43,816) /gb=Z28407 /gi=433898 /ug=Hs.178551 /len=852,31505_at
Cluster Incl. L12691:Human neutrophil peptide-3 gene, complete cds /cds=(50,334) /gb=L12691 /gi=292364 /ug=Hs.178741 /len=452,31506_s_at
Cluster Incl. U80756:Homo sapiens CAGL114 mRNA, partial cds /cds=(0,509) /gb=U80756 /gi=2565081 /ug=Hs.178746 /len=533,31507_at
Cluster Incl. S73591:brain-expressed HHCPA78 homolog [human, HL-60 acute promyelocytic leukemia cells, mRNA, 2704 nt] /cds=(221,1396) /gb=S73591 /gi=688296 /ug=Hs.179526 /len=2704,31508_at
Cluster Incl. X64707:H.sapiens BBC1 mRNA /cds=(51,686) /gb=X64707 /gi=29382 /ug=Hs.180842 /len=942,31509_at
Cluster Incl. Z48950:H.sapiens hH3.3B gene for histone H3.3 /cds=(10,420) /gb=Z48950 /gi=761715 /ug=Hs.180877 /len=1555,31510_s_at
Cluster Incl. U14971:Human ribosomal protein S9 mRNA, complete cds /cds=(35,619) /gb=U14971 /gi=550022 /ug=Hs.180920 /len=692,31511_at
Cluster Incl. Z00010:H.sapiens germ line pseudogene for immunoglobulin kappa light chain leader peptide and variable region (subgroup V kappa I) /cds=(0,170) /gb=Z00010 /gi=33146 /ug=Hs.37089 /len=351,31512_at
Cluster Incl. X90828:H.sapiens mRNA for transcription factor, Lbx1 /cds=(141,983) /gb=X90828 /gi=1617115 /ug=Hs.37128 /len=1270,31513_at
Cluster Incl. AF034970:Homo sapiens docking protein (DOK-2) mRNA, complete cds /cds=(0,1238) /gb=AF034970 /gi=3043918 /ug=Hs.181515 /len=1239,31514_at
Cluster Incl. AF053356:Homo sapiens chromosome 7q22 sequence /cds=(0,809) /gb=AF053356 /gi=3135305 /ug=Hs.181516 /len=810,31515_at
Cluster Incl. M90354:Human BTF3 protein homologue gene, complete cds /cds=(0,335) /gb=M90354 /gi=179571 /ug=Hs.181965 /len=336,31516_f_at
Cluster Incl. M90355:Human BTF3 protein homologue gene, complete cds /cds=(0,203) /gb=M90355 /gi=1435190 /ug=Hs.181966 /len=204,31517_f_at
Cluster Incl. M90356:Human BTF3 protein homologue gene, complete cds /cds=(0,644) /gb=M90356 /gi=179575 /ug=Hs.181967 /len=645,31518_i_at
Cluster Incl. M90356:Human BTF3 protein homologue gene, complete cds /cds=(0,644) /gb=M90356 /gi=179575 /ug=Hs.181967 /len=645,31519_f_at
Cluster Incl. X77824:H.sapiens chromobox 2 gene /cds=(0,236) /gb=X77824 /gi=773207 /ug=Hs.181970 /len=237,31520_at
Cluster Incl. X60484:H.sapiens H4/e gene for H4 histone /cds=(0,311) /gb=X60484 /gi=32000 /ug=Hs.181972 /len=312,31521_f_at
Cluster Incl. Z80779:H.sapiens H2B/g gene /cds=(0,380) /gb=Z80779 /gi=1568548 /ug=Hs.182137 /len=381,31522_f_at
Cluster Incl. Z80780:H.sapiens H2B/h gene /cds=(0,380) /gb=Z80780 /gi=1568550 /ug=Hs.182138 /len=381,31523_f_at
Cluster Incl. Z80782:H.sapiens H2B/k gene /cds=(0,380) /gb=Z80782 /gi=1568554 /ug=Hs.182140 /len=381,31524_f_at
Cluster Incl. J00153:Human alpha globin gene cluster on chromosome 16- zeta gene /cds=(0,428) /gb=J00153 /gi=183794 /ug=Hs.182374 /len=429,31525_s_at
Cluster Incl. X63547:H.sapiens mRNA for tre oncogene (clone 213) /cds=UNKNOWN /gb=X63547 /gi=37332 /ug=Hs.182377 /len=8179,31526_f_at
Cluster Incl. X17206:Human mRNA for LLRep3 /cds=(240,905) /gb=X17206 /gi=34391 /ug=Hs.182426 /len=934,31527_at
Cluster Incl. Z83738:H.sapiens hH2B/e gene /cds=(0,380) /gb=Z83738 /gi=1749801 /ug=Hs.182432 /len=381,31528_f_at
Cluster Incl. X99141:H.sapiens mRNA for hair keratin, hHb3 /cds=(52,1533) /gb=X99141 /gi=1903215 /ug=Hs.182506 /len=1861,31529_at
Cluster Incl. U89344:Human acetyl-CoA carboxylase (ACC2) mRNA, complete cds /cds=(0,7451) /gb=U89344 /gi=2138329 /ug=Hs.183857 /len=7452,31530_at
Cluster Incl. U89344:Human acetyl-CoA carboxylase (ACC2) mRNA, complete cds /cds=(0,7451) /gb=U89344 /gi=2138329 /ug=Hs.183857 /len=7452,31531_g_at
Cluster Incl. U43292:Human MDS1B (MDS1) mRNA, complete cds /cds=(307,816) /gb=U43292 /gi=1294814 /ug=Hs.54504 /len=1277,31532_at
Cluster Incl. AF048713:Homo sapiens Kv4.3 potassium channel long splice variant (Kv4.3) mRNA, complete cds /cds=(0,1967) /gb=AF048713 /gi=2935435 /ug=Hs.184889 /len=1968,31533_s_at
Cluster Incl. M30607:Human zinc finger protein Y-linked (ZFY) mRNA, complete cds /cds=(0,2405) /gb=M30607 /gi=340435 /ug=Hs.184915 /len=2659,31534_at
Cluster Incl. W27858:39e3 Homo sapiens cDNA /gb=W27858 /gi=1307869 /ug=Hs.186617 /len=821,31535_i_at
Cluster Incl. AB020693:Homo sapiens mRNA for KIAA0886 protein, complete cds /cds=(134,3712) /gb=AB020693 /gi=4240260 /ug=Hs.65450 /len=4053,31536_at
Cluster Incl. S74683:ADP-ribosyltransferase [human, skeletal muscle, mRNA, 1334 nt] /cds=(101,1084) /gb=S74683 /gi=807099 /ug=Hs.73139 /len=1311,31537_at
Cluster Incl. M17885:Human acidic ribosomal phosphoprotein P0 mRNA, complete cds /cds=(77,1030) /gb=M17885 /gi=190231 /ug=Hs.73742 /len=1097,31538_at
Cluster Incl. L23852:Homo sapiens (clone Z146) retinal mRNA, 3  end and repeat region /cds=(0,241) /gb=L23852 /gi=393126 /ug=Hs.73838 /len=1711,31539_r_at
Cluster Incl. U03397:Human receptor protein 4-1BB mRNA, complete cds /cds=(119,886) /gb=U03397 /gi=571320 /ug=Hs.73895 /len=1399,31540_at
Cluster Incl. X98307:H.sapiens mRNA for UV-B repressed sequence, HUR 7 /cds=(0,169) /gb=X98307 /gi=1524079 /ug=Hs.84168 /len=394,31541_at
Cluster Incl. M60502:Human profilaggrin mRNA, 3  end /cds=(0,2393) /gb=M60502 /gi=190403 /ug=Hs.73995 /len=2930,31542_at
Cluster Incl. S83198:BPLP=basic proline-rich protein [human, lacrimal gland, mRNA, 947 nt] /cds=(80,685) /gb=S83198 /gi=1836021 /ug=Hs.87198 /len=947,31543_at
Cluster Incl. L13203:Human HNF-3/fork-head homolog-3 HFH-3 mRNA, complete cds /cds=(78,1133) /gb=L13203 /gi=1911184 /ug=Hs.87236 /len=2089,31544_at
Cluster Incl. AL031228:dJ1033B10.4 (40S ribosomal protein S18 (RPS18, KE-3)) /cds=(39,497) /gb=AL031228 /gi=3646023 /ug=Hs.75362 /len=541,31545_at
Cluster Incl. L11566:Homo sapiens ribosomal protein L18 (RPL18) mRNA, complete cds /cds=(15,581) /gb=L11566 /gi=337492 /ug=Hs.75458 /len=630,31546_at
Cluster Incl. D37933:Human mRNA for SYNTAXIN1B, complete cds /cds=(17,883) /gb=D37933 /gi=531249 /ug=Hs.99880 /len=1175,31547_at
Cluster Incl. L13291:Human ADP-ribosylarginine hydrolase mRNA, complete cds /cds=(105,1178) /gb=L13291 /gi=402477 /ug=Hs.99884 /len=1365,31548_at
Cluster Incl. M13150:Human mas proto-oncogene mRNA, complete cds /cds=(267,1244) /gb=M13150 /gi=187388 /ug=Hs.99900 /len=1388,31549_at
Cluster Incl. J03019:Human beta-1-adrenergic receptor mRNA, complete cds /cds=(86,1519) /gb=J03019 /gi=178199 /ug=Hs.99913 /len=1723,31550_at
Cluster Incl. M86868:Human gamma amino butyric acid (GABA rho2) gene mRNA, complete cds /cds=(80,1477) /gb=M86868 /gi=182912 /ug=Hs.99927 /len=1628,31551_at
Cluster Incl. M28219:Homo sapiens low density lipoprotein receptor (FH 10 mutant causing familial hypercholesterolemia) mRNA, 3  end /cds=(0,182) /gb=M28219 /gi=619785 /ug=Hs.99940 /len=282,31552_at
Cluster Incl. X78931:H.sapiens HZF8 mRNA for zinc finger protein /cds=(0,524) /gb=X78931 /gi=498733 /ug=Hs.99971 /len=746,31553_at
Cluster Incl. X55019:H.sapiens mRNA for acetylcholine receptor delta subunit /cds=(4,1557) /gb=X55019 /gi=297401 /ug=Hs.99975 /len=1741,31554_at
Cluster Incl. X16666:Human HOX2I mRNA from the Hox2 locus /cds=(6,911) /gb=X16666 /gi=32383 /ug=Hs.99992 /len=1021,31555_at
Cluster Incl. X61072:Human mRNA for T cell receptor, clone IGRA17 /cds=(0,200) /gb=X61072 /gi=33511 /ug=Hs.99996 /len=353,31556_at
Cluster Incl. M17733:Human thymosin beta-4 mRNA, complete cds /cds=(77,211) /gb=M17733 /gi=339688 /ug=Hs.75968 /len=556,31557_at
Cluster Incl. X91103:H.sapiens mRNA for Hr44 protein /cds=(0,1016) /gb=X91103 /gi=1054775 /ug=Hs.102131 /len=1182,31558_at
Cluster Incl. U26209:Human renal sodium/dicarboxylate cotransporter (NADC1) mRNA, complete cds /cds=(68,1846) /gb=U26209 /gi=1098556 /ug=Hs.102307 /len=1953,31559_at
Cluster Incl. U49065:Human interleukin-1 receptor-related protein mRNA, complete cds /cds=(134,1822) /gb=U49065 /gi=1236078 /ug=Hs.102865 /len=1971,31560_at
Cluster Incl. S81591:SLC9A2=Na+/H+ exchanger [human, liver, mRNA, 2665 nt] /cds=(418,2514) /gb=S81591 /gi=1478393 /ug=Hs.103132 /len=2665,31561_at
Cluster Incl. U63973:Human rhodopsin kinase mRNA, complete cds /cds=(108,1799) /gb=U63973 /gi=1488315 /ug=Hs.103501 /len=1952,31562_at
Cluster Incl. U03115:Human V beta T-cell receptor (TCRBV) gene locus /cds=(0,149) /gb=U03115 /gi=467918 /ug=Hs.103945 /len=342,31563_at
Cluster Incl. S65761:anti-colorectal carcinoma heavy chain=glycoprotein CANAG-50 specific IgG1 kappa [human, 19.9 hybridoma, antibody 1116NS19.9, mRNA, 1515 nt] /cds=(44,1420) /gb=S65761 /gi=425517 /ug=Hs.103995 /len=1515,31564_at
Cluster Incl. S65921:anti-colorectal carcinoma light chain=glycoprotein CANAG-50 specific IgG1 kappa [human, 19.9 hybridoma, antibody 1116NS19.9, mRNA, 998 nt] /cds=(79,789) /gb=S65921 /gi=425519 /ug=Hs.103996 /len=998,31565_at
Cluster Incl. U00956:Human clone KDB5.1 (CAC)n/(GTG)n repeat-containing mRNA /cds=UNKNOWN /gb=U00956 /gi=405058 /ug=Hs.104112 /len=1424,31566_at
Cluster Incl. S82769:GABAA receptor gamma 3 subunit [human, fetal brain, mRNA Partial, 1536 nt] /cds=(32,1435) /gb=S82769 /gi=1754748 /ug=Hs.104133 /len=1536,31567_at
Cluster Incl. U14972:Human ribosomal protein S10 mRNA, complete cds /cds=(16,513) /gb=U14972 /gi=550024 /ug=Hs.76230 /len=570,31568_at
Cluster Incl. U76362:Human retinal glutamate transporter EAAT5 mRNA, complete cds /cds=(188,1870) /gb=U76362 /gi=2076761 /ug=Hs.104637 /len=1996,31569_at
Cluster Incl. U70212:Human SIM1 mRNA, complete cds /cds=(216,2516) /gb=U70212 /gi=2245351 /ug=Hs.105925 /len=4007,31570_at
Cluster Incl. U93868:Human RNA polymerase III subunit (RPC32) mRNA, complete cds /cds=(162,863) /gb=U93868 /gi=2228749 /ug=Hs.105929 /len=1000,31571_at
Cluster Incl. AF011757:Homo sapiens RAGE binding protein (P12) mRNA, complete cds /cds=(0,278) /gb=AF011757 /gi=2293532 /ug=Hs.105937 /len=388,31572_at
Cluster Incl. M64716:Human ribosomal protein S25 mRNA, complete cds /cds=(71,448) /gb=M64716 /gi=337507 /ug=Hs.113029 /len=497,31573_at
Cluster Incl. M14087:Human HL14 gene encoding beta-galactoside-binding lectin, 3  end, clone 2 /cds=(0,205) /gb=M14087 /gi=187113 /ug=Hs.113212 /len=229,31574_i_at
Cluster Incl. M14087:Human HL14 gene encoding beta-galactoside-binding lectin, 3  end, clone 2 /cds=(0,205) /gb=M14087 /gi=187113 /ug=Hs.113212 /len=229,31575_f_at
Cluster Incl. M20919:Human DNA with a hepatitis B virus surface antigen (HBsAg) gene (complete cds) insertion /cds=(0,593) /gb=M20919 /gi=184331 /ug=Hs.113220 /len=594,31576_at
Cluster Incl. D38466:Homo sapiens gene for a1 chain of type XIX collagen /cds=(0,89) /gb=D38466 /gi=1468954 /ug=Hs.113225 /len=721,31577_at
Cluster Incl. M96936:Homo sapiens cystic fibrosis transmembrane conductance regulator (CTFR) gene, exons 23 (3  end), 24a, and 24 (5  end) /cds=(0,74) /gb=M96936 /gi=180293 /ug=Hs.113235 /len=317,31578_at
Cluster Incl. AF005082:Homo sapiens skin-specific protein (xp33) mRNA, partial cds /cds=(0,287) /gb=AF005082 /gi=2589191 /ug=Hs.113261 /len=303,31579_at
Cluster Incl. AF028840:Homo sapiens Kruppel-associated box protein mRNA, complete cds /cds=(42,1385) /gb=AF028840 /gi=2623621 /ug=Hs.113263 /len=1834,31580_at
